taxon_species,taxon_class,taxon_genus,taxon_family,taxon_order,Adult mass (g),gestation length (days),maturity length (days),generation time (days)
Echinops telfairi,Mammalia,Echinops,Tenrecidae,,180,55,365,420
Hemicentetes semispinosus,Mammalia,Hemicentetes,Tenrecidae,,180,59,35,94
Nesogale dobsoni,Mammalia,Nesogale,Tenrecidae,,37.8,61,669,730
Nesogale talazaci,Mammalia,Nesogale,Tenrecidae,,50,61,639,700
Setifer setosus,Mammalia,Setifer,Tenrecidae,,225,54,198,252
Tenrec ecaudatus,Mammalia,Tenrec,Tenrecidae,,900,58,182,240
Antilocapra americana,Mammalia,Antilocapra,Antilocapridae,Artiodactyla,46100,235,547,782
Addax nasomaculatus,Mammalia,Addax,Bovidae,Artiodactyla,92500,282,1065,1347
Aepyceros melampus,Mammalia,Aepyceros,Bovidae,Artiodactyla,52500,198,456,654
Alcelaphus buselaphus,Mammalia,Alcelaphus,Bovidae,Artiodactyla,159000,247,730,977
Ammotragus lervia,Mammalia,Ammotragus,Bovidae,Artiodactyla,92500,149,335,484
Antidorcas marsupialis,Mammalia,Antidorcas,Bovidae,Artiodactyla,39000,168,213,381
Antilope cervicapra,Mammalia,Antilope,Bovidae,Artiodactyla,37500,168,466,634
Beatragus hunteri,Mammalia,Beatragus,Bovidae,Artiodactyla,159000,283,652,935
Bison bison,Mammalia,Bison,Bovidae,Artiodactyla,630000,274,912,1186
Bison bonasus,Mammalia,Bison,Bovidae,Artiodactyla,610000,270,730,1000
Bos frontalis,Mammalia,Bos,Bovidae,Artiodactyla,825000,275,590,865
Bos grunniens,Mammalia,Bos,Bovidae,Artiodactyla,667000,274,738,1012
Bos javanicus,Mammalia,Bos,Bovidae,Artiodactyla,700000,295,730,1025
Bos sauveli,Mammalia,Bos,Bovidae,Artiodactyla,800000,260,755,1015
Bos taurus,Mammalia,Bos,Bovidae,Artiodactyla,750000,277,548,825
Boselaphus tragocamelus,Mammalia,Boselaphus,Bovidae,Artiodactyla,180000,255,815,1070
Bubalus bubalis,Mammalia,Bubalus,Bovidae,Artiodactyla,725000,311,502,813
Bubalus depressicornis,Mammalia,Bubalus,Bovidae,Artiodactyla,155000,300,730,1030
Bubalus mindorensis,Mammalia,Bubalus,Bovidae,Artiodactyla,240000,300,755,1055
Bubalus quarlesi,Mammalia,Bubalus,Bovidae,Artiodactyla,150000,295,755,1050
Budorcas taxicolor,Mammalia,Budorcas,Bovidae,Artiodactyla,180000,210,730,940
Capra caucasica,Mammalia,Capra,Bovidae,Artiodactyla,70000,157,890,1047
Capra cylindricornis,Mammalia,Capra,Bovidae,Artiodactyla,50000,161,1019,1180
Capra falconeri,Mammalia,Capra,Bovidae,Artiodactyla,41000,163,745,908
Capra hircus,Mammalia,Capra,Bovidae,Artiodactyla,61000,155,406,561
Capra ibex,Mammalia,Capra,Bovidae,Artiodactyla,82500,169,797,966
Capra nubiana,Mammalia,Capra,Bovidae,Artiodactyla,46250,150,818,968
Capra pyrenaica,Mammalia,Capra,Bovidae,Artiodactyla,57500,165,548,713
Capra sibirica,Mammalia,Capra,Bovidae,Artiodactyla,130000,175,797,972
Capricornis crispus,Mammalia,Capricornis,Bovidae,Artiodactyla,80000,215,1095,1310
Capricornis sumatraensis,Mammalia,Capricornis,Bovidae,Artiodactyla,95000,213,912,1125
Cephalophus dorsalis,Mammalia,Cephalophus,Bovidae,Artiodactyla,11600,236,578,814
Cephalophorus rufilatus,Mammalia,Cephalophorus,Bovidae,Artiodactyla,13000,230,270,500
Connochaetes gnou,Mammalia,Connochaetes,Bovidae,Artiodactyla,132250,259,763,1022
Connochaetes taurinus,Mammalia,Connochaetes,Bovidae,Artiodactyla,164500,253,411,664
Damaliscus lunatus,Mammalia,Damaliscus,Bovidae,Artiodactyla,110000,238,639,877
Damaliscus pygargus,Mammalia,Damaliscus,Bovidae,Artiodactyla,84500,243,707,950
Eudorcas rufifrons,Mammalia,Eudorcas,Bovidae,Artiodactyla,15011,175,365,540
Eudorcas thomsonii,Mammalia,Eudorcas,Bovidae,Artiodactyla,25000,170,365,535
Gazella bennettii,Mammalia,Gazella,Bovidae,Artiodactyla,18916.7,172,485,657
Gazella cuvieri,Mammalia,Gazella,Bovidae,Artiodactyla,17500,171,349,520
Gazella dorcas,Mammalia,Gazella,Bovidae,Artiodactyla,14500,182,730,912
Gazella gazella,Mammalia,Gazella,Bovidae,Artiodactyla,23250,180,476,656
Gazella leptoceros,Mammalia,Gazella,Bovidae,Artiodactyla,48500,176,157,333
Gazella saudiya,Mammalia,Gazella,Bovidae,Artiodactyla,32185.7,156,499,655
Gazella spekei,Mammalia,Gazella,Bovidae,Artiodactyla,20000,197,511,708
Gazella subgutturosa,Mammalia,Gazella,Bovidae,Artiodactyla,48500,175,646,821
Hemitragus hylocrius,Mammalia,Hemitragus,Bovidae,Artiodactyla,75000,188,669,857
Hemitragus jemlahicus,Mammalia,Hemitragus,Bovidae,Artiodactyla,35200,183,547,730
Hippotragus equinus,Mammalia,Hippotragus,Bovidae,Artiodactyla,225000,284,730,1014
Hippotragus niger,Mammalia,Hippotragus,Bovidae,Artiodactyla,225000,271,768,1039
Kobus ellipsiprymnus,Mammalia,Kobus,Bovidae,Artiodactyla,175333,264,771,1035
Kobus kob,Mammalia,Kobus,Bovidae,Artiodactyla,105000,251,403,654
Kobus leche,Mammalia,Kobus,Bovidae,Artiodactyla,94800,229,898,1127
Kobus megaceros,Mammalia,Kobus,Bovidae,Artiodactyla,90000,235,730,965
Litocranius walleri,Mammalia,Litocranius,Bovidae,Artiodactyla,43500,204,359,563
Madoqua guentheri,Mammalia,Madoqua,Bovidae,Artiodactyla,4550,178,139,317
Madoqua kirkii,Mammalia,Madoqua,Bovidae,Artiodactyla,5000,172,213,385
Naemorhedus baileyi,Mammalia,Naemorhedus,Bovidae,Artiodactyla,28863,213,950,1163
Naemorhedus caudatus,Mammalia,Naemorhedus,Bovidae,Artiodactyla,27000,215,950,1165
Naemorhedus goral,Mammalia,Naemorhedus,Bovidae,Artiodactyla,31750,215,500,715
Nanger dama,Mammalia,Nanger,Bovidae,Artiodactyla,73000,208,109,317
Nanger granti,Mammalia,Nanger,Bovidae,Artiodactyla,67000,196,251,447
Nanger soemmerringii,Mammalia,Nanger,Bovidae,Artiodactyla,48500,190,640,830
Neotragus moschatus,Mammalia,Neotragus,Bovidae,Artiodactyla,6500,180,183,363
Neotragus pygmaeus,Mammalia,Neotragus,Bovidae,Artiodactyla,2250,183,487,670
Oreamnos americanus,Mammalia,Oreamnos,Bovidae,Artiodactyla,90000,184,912,1096
Oreotragus oreotragus,Mammalia,Oreotragus,Bovidae,Artiodactyla,12000,196,365,561
Oryx dammah,Mammalia,Oryx,Bovidae,Artiodactyla,177500,247,639,886
Oryx gazella,Mammalia,Oryx,Bovidae,Artiodactyla,170000,270,550,820
Oryx leucoryx,Mammalia,Oryx,Bovidae,Artiodactyla,121350,243,794,1037
Ourebia ourebi,Mammalia,Ourebia,Bovidae,Artiodactyla,17000,193,304,497
Ovibos moschatus,Mammalia,Ovibos,Bovidae,Artiodactyla,315000,258,1096,1354
Ovis ammon,Mammalia,Ovis,Bovidae,Artiodactyla,160000,170,403,573
Ovis aries,Mammalia,Ovis,Bovidae,Artiodactyla,80000,146,548,694
Ovis canadensis,Mammalia,Ovis,Bovidae,Artiodactyla,70275,180,707,887
Ovis dalli,Mammalia,Ovis,Bovidae,Artiodactyla,73100,173,684,857
Philantomba maxwellii,Mammalia,Philantomba,Bovidae,Artiodactyla,7000,120,730,850
Philantomba monticola,Mammalia,Philantomba,Bovidae,Artiodactyla,6250,193,487,680
Procapra gutturosa,Mammalia,Procapra,Bovidae,Artiodactyla,30000,185,532,717
Pseudois nayaur,Mammalia,Pseudois,Bovidae,Artiodactyla,55000,160,730,890
Raphicerus campestris,Mammalia,Raphicerus,Bovidae,Artiodactyla,13000,197,238,435
Redunca fulvorufula,Mammalia,Redunca,Bovidae,Artiodactyla,30000,216,388,604
Redunca redunca,Mammalia,Redunca,Bovidae,Artiodactyla,45500,228,502,730
Rupicapra pyrenaica,Mammalia,Rupicapra,Bovidae,Artiodactyla,30000,150,674,824
Rupicapra rupicapra,Mammalia,Rupicapra,Bovidae,Artiodactyla,37500,122,674,796
Saiga tatarica,Mammalia,Saiga,Bovidae,Artiodactyla,37500,152,331,483
Sylvicapra grimmia,Mammalia,Sylvicapra,Bovidae,Artiodactyla,18500,165,255,420
Syncerus caffer,Mammalia,Syncerus,Bovidae,Artiodactyla,700000,331,1475,1806
Taurotragus derbianus,Mammalia,Taurotragus,Bovidae,Artiodactyla,680000,264,1107,1371
Tragelaphus oryx,Mammalia,Tragelaphus,Bovidae,Artiodactyla,500000,274,589,863
Tetracerus quadricornis,Mammalia,Tetracerus,Bovidae,Artiodactyla,19000,212,365,577
Tragelaphus angasii,Mammalia,Tragelaphus,Bovidae,Artiodactyla,120000,224,452,676
Tragelaphus eurycerus,Mammalia,Tragelaphus,Bovidae,Artiodactyla,307500,288,806,1094
Tragelaphus imberbis,Mammalia,Tragelaphus,Bovidae,Artiodactyla,82500,235,504,739
Tragelaphus scriptus,Mammalia,Tragelaphus,Bovidae,Artiodactyla,60000,188,496,684
Tragelaphus spekii,Mammalia,Tragelaphus,Bovidae,Artiodactyla,87500,242,401,643
Tragelaphus strepsiceros,Mammalia,Tragelaphus,Bovidae,Artiodactyla,217500,228,517,745
Camelus bactrianus,Mammalia,Camelus,Camelidae,Artiodactyla,475000,395,1278,1673
Camelus dromedarius,Mammalia,Camelus,Camelidae,Artiodactyla,434000,405,1095,1500
Lama glama,Mammalia,Lama,Camelidae,Artiodactyla,140000,330,800,1130
Lama guanicoe,Mammalia,Lama,Camelidae,Artiodactyla,127500,335,365,700
Vicugna pacos,Mammalia,Vicugna,Camelidae,Artiodactyla,62000,345,432,777
Vicugna vicugna,Mammalia,Vicugna,Camelidae,Artiodactyla,50000,340,730,1070
Alces alces,Mammalia,Alces,Cervidae,Artiodactyla,386000,243,751,994
Axis axis,Mammalia,Axis,Cervidae,Artiodactyla,36000,226,766,992
Axis kuhlii,Mammalia,Axis,Cervidae,Artiodactyla,55000,227,304,531
Axis porcinus,Mammalia,Axis,Cervidae,Artiodactyla,43000,232,304,536
Capreolus capreolus,Mammalia,Capreolus,Cervidae,Artiodactyla,21666.7,153,413,566
Capreolus pygargus,Mammalia,Capreolus,Cervidae,Artiodactyla,39450,294,413,707
Cervus elaphus,Mammalia,Cervus,Cervidae,Artiodactyla,200000,245,852,1097
Cervus nippon,Mammalia,Cervus,Cervidae,Artiodactyla,42000,210,500,710
Dama dama,Mammalia,Dama,Cervidae,Artiodactyla,70000,233,487,720
Elaphodus cephalophus,Mammalia,Elaphodus,Cervidae,Artiodactyla,33500,180,639,819
Elaphurus davidianus,Mammalia,Elaphurus,Cervidae,Artiodactyla,186500,288,821,1109
Hydropotes inermis,Mammalia,Hydropotes,Cervidae,Artiodactyla,11500,190,183,373
Mazama americana,Mammalia,Mazama,Cervidae,Artiodactyla,33000,225,395,620
Muntiacus muntjak,Mammalia,Muntiacus,Cervidae,Artiodactyla,21000,210,272,482
Muntiacus reevesi,Mammalia,Muntiacus,Cervidae,Artiodactyla,18000,199,274,473
Odocoileus hemionus,Mammalia,Odocoileus,Cervidae,Artiodactyla,57000,207,478,685
Odocoileus virginianus,Mammalia,Odocoileus,Cervidae,Artiodactyla,87000,198,309,507
Ozotoceros bezoarticus,Mammalia,Ozotoceros,Cervidae,Artiodactyla,32500,213,365,578
Pudu puda,Mammalia,Pudu,Cervidae,Artiodactyla,10000,200,274,474
Rangifer tarandus,Mammalia,Rangifer,Cervidae,Artiodactyla,101250,228,662,890
Rucervus duvaucelii,Mammalia,Rucervus,Cervidae,Artiodactyla,170000,250,1095,1345
Rucervus eldii,Mammalia,Rucervus,Cervidae,Artiodactyla,122500,241,508,749
Rusa alfredi,Mammalia,Rusa,Cervidae,Artiodactyla,46475,243,595,838
Rusa timorensis,Mammalia,Rusa,Cervidae,Artiodactyla,63000,251,464,715
Rusa unicolor,Mammalia,Rusa,Cervidae,Artiodactyla,185000,232,650,882
Giraffa camelopardalis,Mammalia,Giraffa,Giraffidae,Artiodactyla,800000,457,1278,1735
Okapia johnstoni,Mammalia,Okapia,Giraffidae,Artiodactyla,225000,458,578,1036
Hexaprotodon liberiensis,Mammalia,Hexaprotodon,Hippopotamidae,Artiodactyla,215000,199,1278,1477
Hippopotamus amphibius,Mammalia,Hippopotamus,Hippopotamidae,Artiodactyla,3750000,234,1279,1513
Moschus berezovskii,Mammalia,Moschus,Moschidae,Artiodactyla,12000,197,540,737
Moschus chrysogaster,Mammalia,Moschus,Moschidae,Artiodactyla,11000,188,639,827
Moschus moschiferus,Mammalia,Moschus,Moschidae,Artiodactyla,10000,162,473,635
Babyrousa babyrussa,Mammalia,Babyrousa,Suidae,Artiodactyla,71500,153,548,701
Hylochoerus meinertzhageni,Mammalia,Hylochoerus,Suidae,Artiodactyla,202500,132,365,497
Phacochoerus africanus,Mammalia,Phacochoerus,Suidae,Artiodactyla,100000,164,578,742
Potamochoerus larvatus,Mammalia,Potamochoerus,Suidae,Artiodactyla,87500,122,1096,1218
Potamochoerus porcus,Mammalia,Potamochoerus,Suidae,Artiodactyla,88000,122,1096,1218
Sus barbatus,Mammalia,Sus,Suidae,Artiodactyla,102750,122,362,484
Porcula salvania,Mammalia,Porcula,Suidae,Artiodactyla,8000,108,700,808
Sus scrofa,Mammalia,Sus,Suidae,Artiodactyla,130000,115,334,449
Sus verrucosus,Mammalia,Sus,Suidae,Artiodactyla,76000,120,274,394
Catagonus wagneri,Mammalia,Catagonus,Tayassuidae,Artiodactyla,34750,152,1096,1248
Pecari tajacu,Mammalia,Pecari,Tayassuidae,Artiodactyla,20200,145,329,474
Tayassu pecari,Mammalia,Tayassu,Tayassuidae,Artiodactyla,22000,158,548,706
Hyemoschus aquaticus,Mammalia,Hyemoschus,Tragulidae,Artiodactyla,11000,175,403,578
Tragulus javanicus,Mammalia,Tragulus,Tragulidae,Artiodactyla,2850,144,167,311
Tragulus napu,Mammalia,Tragulus,Tragulidae,Artiodactyla,6500,153,137,290
Ailurus fulgens,Mammalia,Ailurus,Ailuridae,Carnivora,4325,116,550,666
Canis adustus,Mammalia,Canis,Canidae,Carnivora,10250,64,274,338
Canis aureus,Mammalia,Canis,Canidae,Carnivora,11000,63,334,397
Canis latrans,Mammalia,Canis,Canidae,Carnivora,13250,63,274,337
Canis lupus,Mammalia,Canis,Canidae,Carnivora,26625,62,669,731
Canis mesomelas,Mammalia,Canis,Canidae,Carnivora,10250,60,309,369
Cerdocyon thous,Mammalia,Cerdocyon,Canidae,Carnivora,6500,55,274,329
Chrysocyon brachyurus,Mammalia,Chrysocyon,Canidae,Carnivora,21500,64,730,794
Cuon alpinus,Mammalia,Cuon,Canidae,Carnivora,15750,61,365,426
Lycalopex culpaeus,Mammalia,Lycalopex,Canidae,Carnivora,13000,61,365,426
Lycalopex gymnocercus,Mammalia,Lycalopex,Canidae,Carnivora,8500,57,304,361
Lycalopex vetulus,Mammalia,Lycalopex,Canidae,Carnivora,5350,56,276,332
Lycaon pictus,Mammalia,Lycaon,Canidae,Carnivora,26500,72,639,711
Nyctereutes procyonoides,Mammalia,Nyctereutes,Canidae,Carnivora,6500,61,304,365
Otocyon megalotis,Mammalia,Otocyon,Canidae,Carnivora,4150,68,365,433
Speothos venaticus,Mammalia,Speothos,Canidae,Carnivora,6000,68,304,372
Urocyon cinereoargenteus,Mammalia,Urocyon,Canidae,Carnivora,4750,57,345,402
Urocyon littoralis,Mammalia,Urocyon,Canidae,Carnivora,1890.7,52,365,417
Vulpes cana,Mammalia,Vulpes,Canidae,Carnivora,1000,55,304,359
Vulpes chama,Mammalia,Vulpes,Canidae,Carnivora,4000,51,274,325
